index,SMILES,BRD4-BD1,Class,Unit
20,NS(=O)(=O)C1=CC=C(NC2=NC3=C(C=CC=C3)C(C3=CC=C(Cl)C=C3)=N2)C=C1,3.371,IC50,μmol/L
23,NS(=O)(=O)C1=CC=CC=C1NC1=NC2=C(C=CC=C2)C(C2=CC=C(Cl)C=C2)=N1,0.612,IC50,μmol/L
27,[H]C1=CC=C2N=C(NC3=CC=C(S(N)(=O)=O)C=C3)N=C(C3=CC=C(Br)C=C3)C2=C1,1.603,IC50,μmol/L
29,[H]C1=CC=C2N=C(NC3=CC=C(S(N)(=O)=O)C=C3)N=C(C3=CC=C(F)C=C3)C2=C1,0.286,IC50,μmol/L
30,[H]C1=CC=C2N=C(NC3=CC=CC=C3S(N)(=O)=O)N=C(C3=CC=C(F)C=C3)C2=C1,0.615,IC50,μmol/L
31,[H]C1=CC=C2N=C(NC3=CC=C(S(N)(=O)=O)C=C3)N=C(C3=CC=C(C#N)C=C3)C2=C1,0.588,IC50,μmol/L
32,[H]C1=CC=C2N=C(NC3=CC=C(S(N)(=O)=O)C=C3)N=C(C3=CC=C(C(F)(F)F)C=C3)C2=C1,0.687,IC50,μmol/L
44,O=C(O)C1=CC=C(NC2=NC3=CC=CC=C3C(C3=CC=C(F)C=C3)=N2)C=C1,4.468,IC50,μmol/L
45,O=C(O)C1=CC=C(CNC2=NC3=CC=CC=C3C(C3=CC=C(F)C=C3)=N2)C=C1,5.133,IC50,μmol/L
50,O=S(=O)(C1=CC=C(NC2=NC3=CC=CC=C3C(C3=CC=C(F)C=C3)=N2)C=C1)N1CCOCC1,5.952,IC50,μmol/L
53,CC1=NN=C2[C@H](CC(=O)OC(C)(C)C)N=C(C3=CC=C(Cl)C=C3)C3=C(SC(C)=C3C)N12,0.122,IC50,μmol/L
167,COC1=CC=CC=C1S(=O)(=O)NC1=C2N=C(N3C=NC(C)=C3)C=C3C(=O)N(C)C(=C32)C=C1,0.0877,IC50,uM
172,CCC1=CC(NC2=NC(C3=C(C4=CC=C(C(C)(C)F)C=C4)N=CN3C3CCN(CCN)CC3)=CC=N2)=CC(C)=C1,0.13,IC50,uM
187,COC1=CC(OC)=C2C(=O)NC(C3=CC=C(OCCOC4=C(C(N)=O)C=CC=C4)C=C3)=NC2=C1,0.44,IC50,uM
195,CCC1=C(OCCCCCC(=O)NC)C(C)=CC(C2=NC3=C(C(=O)N2)C2=C(CN(C)CC2)S3)=C1,1.1,IC50,uM
196,CC(C)OC1=C(C2=CN(C)C(=O)C3=C2C=C(C(=O)NC2=CC=C(C(=O)NC4=CC=CC=C4N)C=C2)N3)C=C(C(C)(C)O)C=C1,0.0056,IC50,uM
197,CC[C@H](C)OC1=C(C2=CN(C)C(=O)C3=C2C=C(C(=O)NCCCCCCC(=O)NO)N3)C=C(C(C)(C)O)C=C1,0.0295,IC50,uM
199,CCNC(=O)C1=CC2=C(N1)C(=O)N(C)C=C2C1=C(OC2=C(C)C=C(F)C=C2C)C=CC(C(C)(C)O)=C1,0.31289999999999996,IC50,uM
205,CNC(=O)N1CCC2=C(C1)C(N1CCCC3=C1C=C(C(F)F)C(C1=CN(C)N=C1)=C3)=NN2C1CCOCC1,5.1,IC50,uM
212,CCS(=O)(=O)NC1=CC=C(OC2=C(F)C=C(F)C=C2)C(C2=CN(C)C(=O)C3=C2C=CN3)=C1,0.0034,IC50,uM
213,CC1=NOC(C)=C1C1=CN=C2C(C3=CC=C(C(=O)O)C=C3)=CN([C@@H](C)C3=CC=CC=N3)C2=C1,0.00049,IC50,uM
214,CC1=NN=C2[C@H](CC(=O)NC3=CC=C(O)C=C3)N=C(C3=CC=C(Cl)C=C3)C3=C(SC(C)=C3C)N12,0.0077,IC50,uM
215,CC1=NN=C2[C@H](CC(=O)OC(C)(C)C)N=C(C3=CC=C(Cl)C=C3)C3=C(SC(C)=C3C)N12,0.009800000000000001,IC50,uM
216,CN1C=C(C2=CC(NS(C)(=O)=O)=CC3=C2OC(C)(C)C(=O)N3)C2=C(NC=C2)C1=O,0.0116,IC50,uM
217,COC1=NN=C2C=CC(N3CCC(C4=CC=C(OCCN5CCN(C)C(=O)[C@H]5C)C=C4)CC3)=NN21,0.0182,IC50,uM
218,CCOC(=O)NC1=CC(C2=CC(NS(=O)(=O)CC)=CC=C2OC2=C(F)C=C(F)C=C2)=CN(C)C1=O,0.027600000000000003,IC50,uM
221,CCS(=O)(=O)NC1=CC=C(OC2=C(F)C=C(F)C=C2)C(C2=CN(C)C(=O)C(NS(=O)(=O)CC)=C2)=C1,0.0428,IC50,uM
222,CCS(=O)(=O)NC1=CC=C(OC2=C(F)C=C(F)C=C2)C(C2=CN(C)C(=O)C(NC3=NC=CN3)=C2)=C1,0.0476,IC50,uM
225,CN1C=C(C2=CC(N3CCC(CO)S3(=O)=O)=CC=C2OC2=C(F)C=C(F)C=C2)C2=C(NC=C2)C1=O,0.00025,IC50,uM
226,CN1C=C(C2=CC(N3CCCC(CO)S3(=O)=O)=CC=C2OC2=C(F)C=C(F)C=C2)C2=C(NC=C2)C1=O,0.0006,IC50,uM
